sequenceId,itemPosition,itemId,optionalCategorialVariable,optionalRealVariable
0,0,112,3,8.667040931015489
0,1,104,0,10.67110613593214
0,2,129,2,10.285836748538818
0,3,121,2,10.774730632158324
0,4,109,3,8.846517020218904
0,5,111,2,8.74049178953718
0,6,121,0,10.32888323271115
0,7,109,3,10.961488789302871
0,8,126,0,9.002731468400352
0,9,112,0,11.386271562250423
0,10,104,5,11.639442185859414
0,11,103,1,8.770668051661366
0,12,119,1,9.201121581391337
0,13,103,1,9.007968007949277
0,14,105,0,9.87097508907612
0,15,121,5,11.186078642616147
0,16,107,2,10.764474113502786
0,17,128,3,10.174401386305371
0,18,128,3,10.341535570017568
0,19,116,4,9.079232828729316
0,20,106,5,9.395882259664198
0,21,103,0,10.159817849752871
0,22,119,2,11.080493153353265
0,23,105,5,9.189139112837738
0,24,100,4,10.207405641859557
1,25,113,2,9.886103640051951
1,26,116,4,10.221570345867871
1,27,105,2,12.316354087376215
1,28,113,1,11.451023732320479
1,29,108,0,9.714907051368181
1,30,118,1,11.00340844767409
1,31,102,3,9.857317369656423
1,32,102,3,11.102673897577038
1,33,121,0,9.202072617623443
1,34,104,4,11.8728147604563
1,35,111,5,10.477172718224539
1,36,110,4,10.619488090100619
1,37,102,2,11.776499946908585
1,38,102,1,9.519698415765847
1,39,120,5,8.893569839955328
1,40,109,3,8.410494264568111
1,41,101,2,8.158204823725386
1,42,111,0,10.821569627252963
1,43,127,5,9.88664981228033
1,44,105,3,10.721675057855062
1,45,115,0,9.52882798392419
1,46,104,3,10.432128597627294
2,47,112,1,9.29368953286184
2,48,124,2,9.755950762024169
2,49,121,1,10.234338261997484
2,50,124,5,10.037368602881905
2,51,129,0,10.374054748723598
2,52,103,0,9.350623720647658
2,53,119,0,9.762929943137767
2,54,118,0,9.264930544636497
2,55,110,4,10.029173988025399
2,56,102,0,10.964707148266863
2,57,121,1,6.78719603886802
2,58,108,1,9.670311695067426
2,59,101,1,9.209112897229076
2,60,102,3,10.231287931590597
2,61,110,1,9.464195329306268
2,62,106,2,11.372311876788093
2,63,102,0,9.585695894187374
2,64,110,5,9.90935487963894
2,65,109,1,10.43253675281672
2,66,115,5,9.88507464303232
